Timestamp,Predicted_Temperature
2024-01-01,13.032123289247693
2024-01-02,13.03086609376544
2024-01-03,13.029608898283072
2024-01-04,13.028351702800705
2024-01-05,13.027094507318338
2024-01-06,13.025837311836085
2024-01-07,13.024580116353718
2024-01-08,13.023322920871351
2024-01-09,13.022065725389098
2024-01-10,13.02080852990673
2024-01-11,13.019551334424364
2024-01-12,13.01829413894211
2024-01-13,13.017036943459743
2024-01-14,13.015779747977376
2024-01-15,13.014522552495123
2024-01-16,13.013265357012756
2024-01-17,13.012008161530389
2024-01-18,13.010750966048136
2024-01-19,13.009493770565769
2024-01-20,13.008236575083401
2024-01-21,13.006979379601034
2024-01-22,13.005722184118781
2024-01-23,13.004464988636414
2024-01-24,13.003207793154047
2024-01-25,13.001950597671794
2024-01-26,13.000693402189427
2024-01-27,12.99943620670706
2024-01-28,12.998179011224806
2024-01-29,12.99692181574244
2024-01-30,12.995664620260072
2024-01-31,12.994407424777819
2024-02-01,12.993150229295452
2024-02-02,12.991893033813085
2024-02-03,12.990635838330718
2024-02-04,12.989378642848465
2024-02-05,12.988121447366098
2024-02-06,12.98686425188373
2024-02-07,12.985607056401477
2024-02-08,12.98434986091911
2024-02-09,12.983092665436743
2024-02-10,12.98183546995449
2024-02-11,12.980578274472123
2024-02-12,12.979321078989756
2024-02-13,12.978063883507502
2024-02-14,12.976806688025135
2024-02-15,12.975549492542768
2024-02-16,12.974292297060515
2024-02-17,12.973035101578148
2024-02-18,12.971777906095781
2024-02-19,12.970520710613414
2024-02-20,12.96926351513116
2024-02-21,12.968006319648794
2024-02-22,12.966749124166427
2024-02-23,12.965491928684173
2024-02-24,12.964234733201806
2024-02-25,12.96297753771944
2024-02-26,12.961720342237186
2024-02-27,12.960463146754819
2024-02-28,12.959205951272452
2024-02-29,12.957948755790198
2024-03-01,12.956691560307831
2024-03-02,12.955434364825464
2024-03-03,12.954177169343097
2024-03-04,12.952919973860844
2024-03-05,12.951662778378477
2024-03-06,12.95040558289611
2024-03-07,12.949148387413857
2024-03-08,12.94789119193149
2024-03-09,12.946633996449123
2024-03-10,12.94537680096687
2024-03-11,12.944119605484502
2024-03-12,12.942862410002135
2024-03-13,12.941605214519882
2024-03-14,12.940348019037515
2024-03-15,12.939090823555148
2024-03-16,12.937833628072894
2024-03-17,12.936576432590527
2024-03-18,12.93531923710816
2024-03-19,12.934062041625793
2024-03-20,12.93280484614354
2024-03-21,12.931547650661173
2024-03-22,12.930290455178806
2024-03-23,12.929033259696553
2024-03-24,12.927776064214186
2024-03-25,12.926518868731819
2024-03-26,12.925261673249565
2024-03-27,12.924004477767198
2024-03-28,12.922747282284831
2024-03-29,12.921490086802578
2024-03-30,12.920232891320211
2024-03-31,12.918975695837844
2024-04-01,12.917718500355477
2024-04-02,12.916461304873224
2024-04-03,12.915204109390857
2024-04-04,12.91394691390849
2024-04-05,12.912689718426236
2024-04-06,12.91143252294387
2024-04-07,12.910175327461502
2024-04-08,12.908918131979249
2024-04-09,12.907660936496882
2024-04-10,12.906403741014515
2024-04-11,12.905146545532261
2024-04-12,12.903889350049894
2024-04-13,12.902632154567527
2024-04-14,12.901374959085274
2024-04-15,12.900117763602907
2024-04-16,12.89886056812054
2024-04-17,12.897603372638173
2024-04-18,12.89634617715592
2024-04-19,12.895088981673553
2024-04-20,12.893831786191186
2024-04-21,12.892574590708932
2024-04-22,12.891317395226565
2024-04-23,12.890060199744198
2024-04-24,12.888803004261945
2024-04-25,12.887545808779578
2024-04-26,12.88628861329721
2024-04-27,12.885031417814957
2024-04-28,12.88377422233259
2024-04-29,12.882517026850223
2024-04-30,12.881259831367856
2024-05-01,12.880002635885603
2024-05-02,12.878745440403236
2024-05-03,12.877488244920869
2024-05-04,12.876231049438616
2024-05-05,12.874973853956249
2024-05-06,12.873716658473882
2024-05-07,12.872459462991628
2024-05-08,12.871202267509261
2024-05-09,12.869945072026894
2024-05-10,12.86868787654464
2024-05-11,12.867430681062274
2024-05-12,12.866173485579907
2024-05-13,12.864916290097653
2024-05-14,12.863659094615286
2024-05-15,12.86240189913292
2024-05-16,12.861144703650552
2024-05-17,12.859887508168299
2024-05-18,12.858630312685932
2024-05-19,12.857373117203565
2024-05-20,12.856115921721312
2024-05-21,12.854858726238945
2024-05-22,12.853601530756578
2024-05-23,12.852344335274324
2024-05-24,12.851087139791957
2024-05-25,12.84982994430959
2024-05-26,12.848572748827337
2024-05-27,12.84731555334497
2024-05-28,12.846058357862603
2024-05-29,12.844801162380236
2024-05-30,12.843543966897983
2024-05-31,12.842286771415615
2024-06-01,12.841029575933248
2024-06-02,12.839772380450995
2024-06-03,12.838515184968628
2024-06-04,12.837257989486261
2024-06-05,12.836000794004008
2024-06-06,12.83474359852164
2024-06-07,12.833486403039274
2024-06-08,12.83222920755702
2024-06-09,12.830972012074653
2024-06-10,12.829714816592286
2024-06-11,12.828457621110033
2024-06-12,12.827200425627666
2024-06-13,12.825943230145299
2024-06-14,12.824686034662932
2024-06-15,12.823428839180679
2024-06-16,12.822171643698312
2024-06-17,12.820914448215945
2024-06-18,12.819657252733691
2024-06-19,12.818400057251324
2024-06-20,12.817142861768957
2024-06-21,12.815885666286704
2024-06-22,12.814628470804337
2024-06-23,12.81337127532197
2024-06-24,12.812114079839716
2024-06-25,12.81085688435735
2024-06-26,12.809599688874982
2024-06-27,12.808342493392615
2024-06-28,12.807085297910362
2024-06-29,12.805828102427995
2024-06-30,12.804570906945628
2024-07-01,12.803313711463375
2024-07-02,12.802056515981008
2024-07-03,12.80079932049864
